"cenario","metodo","percentual_p","media_r","sd_r","n_r","media_rmse","sd_rmse","n_rmse","media_delta_r","sd_delta_r","n.x","media_delta_rmse","sd_delta_rmse","n.y"
"C5","BAGGING",100,0.832360245281031,0.0206382090005067,5,0.287225630235322,0.02300938307847,5,0,0,5,0,0,5
"C5","BAGGING",50,0.829237623634152,0.0182823305828338,5,0.28711525390763,0.0206951897920432,5,0.00312262164687891,0.0152250258031201,5,-0.000110376327692441,0.00592647264887026,5
"C5","BAGGING",25,0.823204364445852,0.0189312164132982,5,0.288823965754236,0.0214818772692779,5,0.00915588083517933,0.013567025423064,5,0.0015983355189133,0.00585346640530134,5
"C5","BAGGING",10,0.807275349170058,0.020894753479913,5,0.291672359230492,0.0199714047832037,5,0.0250848961109734,0.020823929055668,5,0.0044467289951698,0.00774833398568318,5
"C5","BAGGING",5,0.783520912740267,0.0325783915761564,5,0.301059745394824,0.0210262789775973,5,0.0488393325407642,0.0304969104714573,5,0.0138341151595013,0.0113130293589734,5
"C5","BAGGING",1,0.667599299264956,0.0591803824621793,5,0.353101595556193,0.0261394179175303,5,0.164760946016076,0.05378472383164,5,0.0658759653208712,0.0294320285848406,5
"C5","BOOSTING",100,0.836414995496392,0.0166920134981907,5,0.279030018482963,0.0228860556105,5,0,0,5,0,0,5
"C5","BOOSTING",50,0.833217817111825,0.0169409193250978,5,0.280633086617424,0.0226742419017976,5,0.00319717838456672,0.00364600166372806,5,0.00160306813446097,0.00146056980169988,5
"C5","BOOSTING",25,0.832092620180038,0.0160222118040245,5,0.280595597311762,0.0226022231236551,5,0.00432237531635438,0.00486422841233765,5,0.00156557882879854,0.00249155043849386,5
"C5","BOOSTING",10,0.822031831246976,0.0185525001239047,5,0.283633067588921,0.0222424869757559,5,0.0143831642494163,0.00628323186171745,5,0.00460304910595806,0.00361036275184515,5
"C5","BOOSTING",5,0.810121176684971,0.0176081254908986,5,0.288676048181245,0.0246702476720598,5,0.0262938188114207,0.00822899331697129,5,0.0096460296982816,0.00418299605827152,5
"C5","BOOSTING",1,0.730096844221372,0.0181998825931087,5,0.323981635459341,0.0244655976336343,5,0.10631815127502,0.016936485170333,5,0.0449516169763781,0.00731103828971424,5
"C5","GBLUP",100,0.857713094442199,0.015123727695261,5,0.242641223567225,0.0102302333501646,5,0,0,5,0,0,5
"C5","GBLUP",50,0.845326869587419,0.0178074571655626,5,0.25406857687742,0.009062841465551,5,0.01238622485478,0.0032343196462119,5,0.0114273533101953,0.00347382470901482,5
