"cenario","fold","metodo","percentual_p","p","n_treino","n_teste","seed","runtime_seconds","r_true_g","rmse_true_g","mae_true_g","bias_true_g","slope_true_g","r2_true_g","r_phenotype","rmse_phenotype","r_baseline","rmse_baseline","delta_r","delta_rmse"
"C1",3,"GBLUP",25,1003,800,200,20364033,23.31,0.655096927414443,1.53866888026759,1.21720270539563,-0.000425562642217514,0.914027126806435,0.425355156821169,0.508408126781859,2.00120626707091,0.659437330034518,1.52816673114856,0.00434040262007496,0.0105021491190294
"C1",3,"GBLUP",10,401,800,200,20364018,21.67,0.672289831254674,1.50630619311157,1.21302898717576,-0.0291599322141766,0.930861110180701,0.449273852324833,0.526832879553984,1.97142771414704,0.659437330034518,1.52816673114856,-0.0128525012201555,-0.0218605380369941
"C1",3,"GBLUP",5,201,800,200,20364013,15.53,0.706597632515286,1.43670107813238,1.16242236141357,-0.0221301148996908,1.01858880842252,0.498995059421344,0.545225428128904,1.93424383337998,0.659437330034518,1.52816673114856,-0.0471603024807673,-0.091465653016179
"C1",3,"GBLUP",1,40,800,200,20364009,11.61,0.649163208763708,1.54441235325453,1.21771725582855,-0.00890513825100776,0.972519160115044,0.421057133933749,0.485352311412151,2.02512970501233,0.659437330034518,1.52816673114856,0.0102741212708103,0.0162456221059668
"C1",3,"MARS",100,4010,800,200,20364208,46.01,0.805101502179928,1.20976263693778,0.953521827700376,0.0454747064625327,0.937139718347806,0.644770104566874,0.678215461964171,1.70162723273085,0.805101502179928,1.20976263693778,0,0
"C1",3,"MARS",50,2005,800,200,20364158,11.7,0.805101502179928,1.20976263693778,0.953521827700376,0.0454747064625327,0.937139718347806,0.644770104566874,0.678215461964171,1.70162723273085,0.805101502179928,1.20976263693778,0,0
"C1",3,"MARS",25,1003,800,200,20364133,3.47,0.805101502179928,1.20976263693778,0.953521827700376,0.0454747064625327,0.937139718347806,0.644770104566874,0.678215461964171,1.70162723273085,0.805101502179928,1.20976263693778,0,0
"C1",3,"MARS",10,401,800,200,20364118,0.719999999999999,0.805101502179928,1.20976263693778,0.953521827700376,0.0454747064625327,0.937139718347806,0.644770104566874,0.678215461964171,1.70162723273085,0.805101502179928,1.20976263693778,0,0
"C1",3,"MARS",5,201,800,200,20364113,0.299999999999983,0.805101502179928,1.20976263693778,0.953521827700376,0.0454747064625327,0.937139718347806,0.644770104566874,0.678215461964171,1.70162723273085,0.805101502179928,1.20976263693778,0,0
"C1",3,"MARS",1,40,800,200,20364109,0.0400000000000205,0.805101502179928,1.20976263693778,0.953521827700376,0.0454747064625327,0.937139718347806,0.644770104566874,0.678215461964171,1.70162723273085,0.805101502179928,1.20976263693778,0,0
"C1",3,"TREE",100,4010,800,200,20364308,10.93,0.745849326570956,1.37370388438625,1.05406453575924,0.0174036445004363,0.862034617372473,0.541968416377986,0.602280912067243,1.87364816426231,0.745849326570956,1.37370388438625,0,0
"C1",3,"TREE",50,2005,800,200,20364258,4.65,0.745849326570955,1.37370388438625,1.05406453575924,0.0174036445004356,0.862034617372472,0.541968416377984,0.602280912067243,1.87364816426231,0.745849326570956,1.37370388438625,8.88178419700125e-16,2.88657986402541e-15
"C1",3,"TREE",25,1003,800,200,20364233,2,0.745849326570955,1.37370388438625,1.05406453575924,0.0174036445004356,0.862034617372472,0.541968416377984,0.602280912067243,1.87364816426231,0.745849326570956,1.37370388438625,8.88178419700125e-16,2.88657986402541e-15
"C1",3,"TREE",10,401,800,200,20364218,0.609999999999999,0.745849326570955,1.37370388438625,1.05406453575924,0.0174036445004356,0.862034617372472,0.541968416377984,0.602280912067243,1.87364816426231,0.745849326570956,1.37370388438625,8.88178419700125e-16,2.88657986402541e-15
"C1",3,"TREE",5,201,800,200,20364213,0.270000000000003,0.745849326570955,1.37370388438625,1.05406453575924,0.0174036445004356,0.862034617372472,0.541968416377984,0.602280912067243,1.87364816426231,0.745849326570956,1.37370388438625,8.88178419700125e-16,2.88657986402541e-15
"C1",3,"TREE",1,40,800,200,20364209,0.0700000000000003,0.658497326863841,1.5286629451729,1.28203638924821,0.0556231442050581,0.988080795428332,0.432804665242109,0.521443542682665,1.97020862125343,0.745849326570956,1.37370388438625,0.0873519997071155,0.154959060786649
"C1",3,"BAGGING",100,4010,800,200,20364408,578.49,0.877973817597844,1.0066710106616,0.792859835400008,0.0528410137666518,1.16912922227946,0.75402877847239,0.734684042728396,1.57103197787697,0.877973817597844,1.0066710106616,0,0
"C1",3,"BAGGING",50,2005,800,200,20364358,272.53,0.877843501519282,1.00272603308908,0.786784356266667,0.0597113067999941,1.15443660284103,0.755952842281772,0.732571638056947,1.57425253642149,0.877973817597844,1.0066710106616,0.000130316078561621,-0.00394497757252443
